13,300, 200,420, 66,440, 60,280
60,280, 63,213, -13,160, 73,266
73,266, 153,373, 80,320, 100,280
100,280, 106,280, 113,286, 126,340
126,340, 113,273, 133,273, 173,380
173,380, 200,460, 113,346, 146,306
146,306, 173,313, 173,353, 173,360
173,360, 176,280, 180,353, 200,373
191,360, 183,313, 200,333, 206,366
206,366, 206,333, 226,353, 226,386
226,380, 273,426, 210,326, 243,353
200,386, 200,386, 226,413, 226,413
233,446, 420,540, 286,573, 280,380
280,380, 283,313, 206,260, 293,366
306,346, 360,473, 306,506, 326,446
326,446, 340,413, 360,413, 373,513
373,513, 353,280, 426,280, 426,300
386,360, 433,420, 373,420, 393,360
393,360, 406,346, 426,346, 426,373
400,420, 400,420, 413,426, 413,426
420,406, 420,406, 420,373, 420,373
420,400, 473,453, 413,353, 443,380
450,423, 503,430, 443,356, 450,403
476,473, 460,460, 460,410, 476,396
473,406, 520,446, 460,446, 480,406
480,406, 486,400, 500,400, 506,413
493,433, 546,513, 506,346, 466,340
466,340, 473,413, 533,346, 546,406
560,380, 546,393, 553,480, 580,566
580,566, 606,600, 620,566, 600,433
600,433, 593,266, 520,266, 580,533
613,346, 616,346, 616,343, 613,346
